Name,Category,Equipment
Active hang from bar,Abdominals,Body Only
Cat-cow,Abdominals,Body Only
Crab walk,Abdominals,Body Only
Lunge with overhead reach,Abdominals,Body Only
Hang from bar,Abdominals,Body Only
Total Fitness Hollow Hold,Abdominals,Body Only
Total Fitness Side Plank,Abdominals,Body Only
Side plank pulse,Abdominals,Body Only
Total Fitness Spider Crawl (Unweighted),Abdominals,Body Only
Total Fitness V-Up,Abdominals,Body Only
MetaBurn Alternating Knee-to-Elbow Mountain Climber,Abdominals,Body Only
Alternating sit-through with crunch-,Abdominals,Body Only
MetaBurn Alternating Toe-Touch,Abdominals,Body Only
MetaBurn Janda Sit-Up,Abdominals,Body Only
MetaBurn Oblique Roll Crunch,Abdominals,Body Only
MetaBurn Plank Jack,Abdominals,Body Only
MetaBurn Plank To Alternating Side Plank,Abdominals,Body Only
MetaBurn Plank Up-Down,Abdominals,Body Only
MetaBurn Plank Wiper,Abdominals,Body Only
MetaBurn Plank With Alternating Toe-Touch,Abdominals,Body Only
MetaBurn Plyo Push-Up,Abdominals,Body Only
MetaBurn Psycho Crunch,Abdominals,Body Only
MetaBurn Scapular Retraction Plank,Abdominals,Body Only
MetaBurn Scapular Retraction Plank Hold,Abdominals,Body Only
MetaBurn Scorpion,Abdominals,Body Only
MetaBurn Side Crawler,Abdominals,Body Only
MetaBurn Side Plank Oblique Crunch,Abdominals,Body Only
MetaBurn Sit-Through,Abdominals,Body Only
MetaBurn Sit-Up To V-Up,Abdominals,Body Only
MetaBurn Sit-Up With Rotation,Abdominals,Body Only
MetaBurn Split-Leg Crunch,Abdominals,Body Only
MetaBurn Tabletop Hip Thrust,Abdominals,Body Only
MetaBurn Tabletop With Russian Kick,Abdominals,Body Only
MetaBurn Toe Driver Abs,Abdominals,Body Only
MetaBurn-V-Up,Abdominals,Body Only
X-body V-up,Abdominals,Body Only
MetaBurn Swivel Crunch,Abdominals,Body Only
Robertson Core-Engaged Dead Bug,Abdominals,Body Only
FYR2 Double-Under,Abdominals,Body Only
FYR2 Fire Feet with Burpee Tuck Jump Drill,Abdominals,Body Only
FYR2 Flutter Kick,Abdominals,Body Only
FYR2 Half-Moon,Abdominals,Body Only
FYR2 Leopard Crawl,Abdominals,Body Only
FYR2 Plank Alternating Front Step,Abdominals,Body Only
FYR2 Shoulder Tap,Abdominals,Body Only
Hand shift plank,Abdominals,Body Only
Cross-body plank march,Abdominals,Body Only
Bent-knee Copenhagen hip adduction,Abdominals,Body Only
Copenhagen plank,Abdominals,Body Only
ACFT Hanging leg tuck,Abdominals,Body Only
Alternating hanging knee raise,Abdominals,Body Only
Plank To Sphinx,Abdominals,Body Only
Twisting Mountain Climbers,Abdominals,Body Only
Jack Knives,Abdominals,Body Only
Hanging Leg Raises,Abdominals,Body Only
Dumbbell suitcase crunch,Abdominals,Medicine Ball
Medicine ball rotational throw,Abdominals,Medicine Ball
Hollow-hold ball toss,Abdominals,Medicine Ball
Partner front Russian twist and pass,Abdominals,Medicine Ball
Sit-up with single-arm overhand throw,Abdominals,Medicine Ball
Medicine ball partner twist,Abdominals,Medicine Ball
Partner side Russian twist and pass,Abdominals,Medicine Ball
Medicine ball half moon,Abdominals,Medicine Ball
Exercise ball roll-out,Abdominals,Medicine Ball
Medicine ball pass,Abdominals,Medicine Ball
Partner medicine ball sit-up,Abdominals,Medicine Ball
Medicine ball Russian twist,Abdominals,Medicine Ball
30 Medicine Ball Slam,Abdominals,Medicine Ball
Medicine ball twist,Abdominals,Medicine Ball
FYR2 Medicine Ball Complex,Abdominals,Medicine Ball
FYR2 Medicine Ball Fire-Feet Drill,Abdominals,Medicine Ball
FYR2 Medicine Ball Knees-to-Chest,Abdominals,Medicine Ball
FYR2 Medicine Ball Mountain Climber,Abdominals,Medicine Ball
Decline oblique crunch,Abdominals,None
Decline sit-up,Abdominals,None
Hanging Windshield Wiper,Abdominals,None
Exercise Ball Pull-In,Abdominals,Exercise Ball
Exercise ball crunch,Abdominals,Exercise Ball
Feet-elevated crunch,Abdominals,Exercise Ball
Weighted Ball Side Bend,Abdominals,Exercise Ball
Swiss Ball Ab Roll-Out,Abdominals,Exercise Ball
Exercise Ball Cable Crunch - Gethin Variation,Abdominals,Cable
Exercise ball squat and twist,Abdominals,Exercise Ball
Swiss Ball V-Up With Foot Pass,Abdominals,Exercise Ball
Exercise ball pike,Abdominals,Exercise Ball
Exercise ball bird dog,Abdominals,Exercise Ball
Exercise ball superman,Abdominals,Exercise Ball
BOSU cross-body crunch,Abdominals,Exercise Ball
Exercise Ball Knee Tuck - Gethin Varation,Abdominals,Exercise Ball
Alternating Exercise Ball Knee Tucks - Gethin Variation,Abdominals,Exercise Ball
AM Ball Crunch,Abdominals,Exercise Ball
30 Bosu Cable Reverse Crunch,Abdominals,Exercise Ball
BOSU knee tuck,Abdominals,Exercise Ball
30 Side Plank On Ball,Abdominals,Exercise Ball
Hanging exercise ball leg raise,Abdominals,Exercise Ball
Taylor Exercise Ball Stir-The-Pot,Abdominals,Exercise Ball
FYR2 Air Ball,Abdominals,Exercise Ball
Feet-elevated plank on ball,Abdominals,Exercise Ball
Band Hip Adductions,Adductors,Bands
Lateral Band Walk,Abductors,Bands
FYR2 Standing Banded Leg Abduction,Abductors,Bands
Iliotibial band SMR,Abductors,Foam Roll
Adductor SMR,Adductors,Foam Roll
Lying Bent Leg Groin,Adductors,Other
Lateral box jump,Adductors,Other
Thigh adductor,Adductors,Machine
Thigh abductor,Abductors,Machine
Standing Hip Circles,Abductors,Body Only
Groiners,Adductors,Body Only
Fire Hydrant,Abductors,Body Only
Windmills,Abductors,Body Only
Side Leg Raises,Adductors,Body Only
Lateral hop,Adductors,Body Only
Monster Walk,Abductors,Body Only
Side Lying Groin Stretch,Adductors,Body Only
IT Band and Glute Stretch,Abductors,Body Only
Single-leg lying cross-over stretch,Abductors,Body Only
Carioca quick step,Adductors,Body Only
Standing hip circle,Abductors,Body Only
Lateral cone hop,Adductors,Body Only
Side-To-Side Adductor Stretch,Adductors,Body Only
Dynamic pigeon stretch,Abductors,Body Only
Cross-over jack,Abductors,Body Only
Traveling thigh killa,Abductors,Body Only
FYR Thigh Killa,Abductors,Body Only
HM Straddle Stretch,Abductors,Body Only
HM Right Leg Swing,Abductors,Body Only
HM Right Side-Kick,Abductors,Body Only
HM Frog Stretch,Abductors,Body Only
HM Kick-Out,Abductors,Body Only
HM Left Leg Swing,Adductors,Body Only
UNS Foam Roll Adductor,Adductors,Body Only
MetaBurn Groiner,Abductors,Body Only
Side-lying leg adduction scissor,Adductors,Body Only
Groin and Back Stretch,Adductors,None
Adductor/Groin,Adductors,None
Incline dumbbell biceps curl,Biceps,Bands
Banded biceps curl in squat position,Biceps,Bands
Banded Hammer Press - Gethin Variation,Biceps,Bands
Band standing concentration curl,Biceps,Bands
Brachialis SMR,Biceps,Foam Roll
Wide-grip barbell curl,Biceps,Barbell
EZ-bar spider curl,Biceps,Barbell
Barbell Curl,Biceps,Barbell
Close-grip EZ-bar curl,Biceps,Barbell
Preacher Curl,Biceps,Barbell
Barbell Curls Lying Against An Incline,Biceps,Barbell
Seated Close-Grip Concentration Barbell Curl,Biceps,Barbell
Close-grip barbell curl,Biceps,Barbell
Drag curl,Biceps,Barbell
Reverse-grip barbell curl,Biceps,Barbell
Lying High Bench Barbell Curl,Biceps,Barbell
Seated wide-grip curl to close-grip curl,Biceps,Barbell
Seated Straigh-Bar Curl Superset,Biceps,Barbell
Dave Draper Forehead Curl,Biceps,Barbell
Reverse-grip EZ-bar curl,Biceps,Barbell
EZ-Bar Spider Curl - Gethin Variation,Biceps,Barbell
Barbell curl-,Biceps,Barbell
Paul Carter Barbell Curl,Biceps,Barbell
Standing band biceps curl,Biceps,Barbell
Close-Grip EZ-Bar Curl - Gethin Variation,Biceps,Barbell
Seated Barbell Curl,Biceps,Barbell
AM Standing Barbell Curl,Biceps,Barbell
EZ-bar preacher curl,Biceps,Barbell
30 Arms Standing Barbell Curl,Biceps,Barbell
30 Arms Incline Biceps Curl,Biceps,Barbell
"Bicep Curls ""21s""",Biceps,Barbell
Incline Hammer Curls,Biceps,Dumbbell
Hammer Curls,Biceps,Dumbbell
Biceps curl to shoulder press,Biceps,Dumbbell
Concentration curl,Biceps,Dumbbell
Flexor Incline Dumbbell Curls,Biceps,Dumbbell
Dumbbell Bicep Curl,Biceps,Dumbbell
Cross-body hammer curl,Biceps,Dumbbell
Dumbbell Alternate Bicep Curl,Biceps,Dumbbell
Single-arm dumbbell preacher curl,Biceps,Dumbbell
Alternate Incline Dumbbell Curl,Biceps,Dumbbell
Standing concentration curl,Biceps,Dumbbell
Alternating incline dumbbell biceps curl,Biceps,Dumbbell
Alternate Hammer Curl,Biceps,Dumbbell
Seated dumbbell biceps curl,Biceps,Dumbbell
Preacher Hammer Dumbbell Curl,Biceps,Dumbbell
Dumbbell preacher curl,Biceps,Dumbbell
Lying Supine Dumbbell Curl,Biceps,Dumbbell
Standing Dumbbell Reverse Curl,Biceps,Dumbbell
Palms-out incline biceps curl,Biceps,Dumbbell
Straight-arm plank with biceps curl,Biceps,Dumbbell
Face-down incline dumbbell biceps curl,Biceps,Dumbbell
Seated Dumbbell Inner Biceps Curl,Biceps,Dumbbell
Standing Inner-Biceps Curl,Biceps,Dumbbell
Seated hammer curl,Biceps,Dumbbell
Paul Carter Incline Dumbbell Biceps Curl,Biceps,Dumbbell
Paul Carter Concentration Curl,Biceps,Dumbbell
FYR Dumbbell Curl,Biceps,Dumbbell
Dumbbell biceps curl to upright row,Biceps,Dumbbell
FYR Dumbbell Hammer Curl,Biceps,Dumbbell
Dumbbell overhead hold with single-arm curl,Biceps,Dumbbell
FYR Kneeling Biceps,Biceps,Dumbbell
Lunge hold dumbbell curl,Biceps,Dumbbell
FYR Dumbbell Biceps Curl,Biceps,Dumbbell
Alternating dumbbell snatch,Biceps,Dumbbell
TBS Incline Dumbbell Curl,Biceps,Dumbbell
TBS Hammer Curl,Biceps,Dumbbell
Reverse-grip dumbbell curl,Biceps,Dumbbell
Incline Dumbbell Curl - Gethin Variation,Biceps,Dumbbell
Hammer curl,Biceps,Dumbbell
Seated Dumbbell Curl - Gethin Variation,Biceps,Dumbbell
Dumbbell Hammer Curl - Gethin Variation,Biceps,Dumbbell
Single-arm seated dumbbell curl,Biceps,Dumbbell
Lying Cable Curl - Gethin Variation,Biceps,Dumbbell
Dumbbell biceps curl,Biceps,Dumbbell
Seated Biceps Hammer Curl,Biceps,Dumbbell
HM Alternating Reverse Lunge With Biceps Curl,Biceps,Dumbbell
AM Hammer Curls,Biceps,Dumbbell
AM Seated Hammer Curls,Biceps,Dumbbell
Seated alternating biceps curl,Biceps,Dumbbell
Alternating hammer curl,Biceps,Dumbbell
Alternating biceps curl,Biceps,Dumbbell
Holman Slow Biceps Curl,Biceps,Dumbbell
Holman Biceps Curl to Chest Punch,Biceps,Dumbbell
Holman Right Arm Heavy Biceps Curl,Biceps,Dumbbell
Holman Left Arm Heavy Biceps Curl,Biceps,Dumbbell
Holman Alternating Front Lunge Biceps Curl,Biceps,Dumbbell
Holman Weighted Double-Time Biceps Curl,Biceps,Dumbbell
Holman Heavy Right Arm Biceps Curl,Biceps,Dumbbell
Holman Heavy Left Arm Biceps Curl,Biceps,Dumbbell
MetaBurn Dumbbell Drag Curl,Biceps,Dumbbell
MetaBurn Hammer Curl to Overhead Press,Biceps,Dumbbell
MetaBurn Biceps Curl To Lateral Raise,Biceps,Dumbbell
FYR2 Alternating Dumbbell Curl,Biceps,Dumbbell
FYR2 Pulse Biceps Curl,Biceps,Dumbbell
FYR2 Seesaw Dumbbell Biceps Curl,Biceps,Dumbbell
FYR2 Single-Dumbbell Biceps Curl,Biceps,Dumbbell
FYR2 Dumbbell Curl-Row Complex,Biceps,Dumbbell
30 Arms Standing Dumbbell Hammer Curl 21s,Biceps,Dumbbell
30 Arms Standing Biceps Curl,Biceps,Dumbbell
30 Arms Standing Alternating Hammer Curl,Biceps,Dumbbell
30 Arms Standing Alternating Biceps Curl,Biceps,Dumbbell
30 Arms Single-Arm Hammer Preacher Curl,Biceps,Dumbbell
30 Arms Single-Arm Dumbbell Preacher Curl,Biceps,Dumbbell
30 Arms Seated Dumbbell Concentration Curl,Biceps,Dumbbell
30 Arms Seated Biceps Curl,Biceps,Dumbbell
30 Arms Seated Alternating Biceps Curl,Biceps,Dumbbell
30 Arms Incline Hammer Curl,Biceps,Dumbbell
30 Arms Incline Dumbbell Triceps Extension,Biceps,Dumbbell
30 Arms Hammer Curl,Biceps,Dumbbell
Reverse Plate Curls,Biceps,Other
Standing Biceps Stretch,Biceps,Other
Suspended Curl,Biceps,Other
Plate hammer curl,Biceps,Other
Barbell spider curl,Biceps,Other
Barbell forehead curl,Biceps,Other
Overhead cable curl,Biceps,Cable
Standing One-Arm Cable Curl,Biceps,Cable
Reverse Cable Curl,Biceps,Cable
Standing Biceps Cable Curl,Biceps,Cable
Cable rope hammer curl,Biceps,Cable
Lying cable biceps curl,Biceps,Cable
Cable rope preacher hammer curl,Biceps,Cable
Lying Close-Grip Bar Curl On High Pulley,Biceps,Cable
Cable EZ-Bar Preacher Curl - Gethin Variation,Biceps,Cable
Squatting cable EZ-bar biceps curl,Biceps,Cable
Cable straight-bar biceps curl,Biceps,Cable
Standing reverse-grip cable curl,Biceps,Cable
Lying high-cable biceps curl,Biceps,Cable
High-Pulley Cable Curl - Gethin Variation,Biceps,Cable
Standing High Cable Curl - Gethin Variation,Biceps,Cable
High Cable Curls,Biceps,Cable
Seated cable biceps curl,Biceps,Cable
Lying Close-Grip Bar Curl On High Pulley - Gethin Variation,Biceps,Cable
Standing Cable Curl - Gethin Variation,Biceps,Cable
Double Arm Cable Biceps Curl,Biceps,Cable
AM Cable Biceps Curl,Biceps,Cable
Single-arm cable biceps curl,Biceps,Cable
UP Cable Curl With Straight Bar,Biceps,Cable
30 Arms Cable Rope Hammer Curl,Biceps,Cable
30 Arms Squatting Cable Straight-Bar Curl,Biceps,Cable
30 Arms High Cable Curl,Biceps,Cable
30 Arms Cable Straight-Bar Curl,Biceps,Cable
30 Arms Cable Concentration Curl,Biceps,Cable
30 Arms BFR High Cable Curl,Biceps,Cable
BFR cable rope hammer curl,Biceps,Cable
Machine Bicep Curl,Biceps,Machine
Machine Preacher Curls,Biceps,Machine
Single-arm machine preacher curl,Biceps,Machine
Machine preacher curl,Biceps,Machine
Smith machine drag curl,Biceps,Machine
30 Arms BFR Machine Preacher Curl,Biceps,Machine
Seated Biceps,Biceps,Body Only
TBS Chin-Up,Biceps,Body Only
Pull-up - Gethin Variation,Biceps,Body Only
UN Pull-Up Supinated,Biceps,Body Only
UN Pull-Up Pronated,Biceps,Body Only
UN Pull-Up Neutral,Biceps,Body Only
EZ-Bar Curl,Biceps,E-Z Curl Bar
Reverse Barbell Preacher Curls,Biceps,E-Z Curl Bar
Close-Grip EZ-Bar Curl with Band,Biceps,E-Z Curl Bar
Standing EZ-Bar Curl - Gethin Variation,Biceps,E-Z Curl Bar
TBS EZ-Bar Curl,Biceps,E-Z Curl Bar
Standing EZ-bar curl,Biceps,E-Z Curl Bar
30 Arms Standing Overhand EZ-Bar Curl,Biceps,E-Z Curl Bar
30 Arms EZ-Bar Spider Curl,Biceps,E-Z Curl Bar
30 Arms EZ-Bar Preacher Curl,Biceps,E-Z Curl Bar
30 Arms Standing EZ-Bar Curl,Biceps,E-Z Curl Bar
Calf Raises - With Bands,Calves,Bands
Peroneals Stretch,Calves,Bands
Posterior Tibialis Stretch,Calves,Bands
Calf SMR,Calves,Foam Roll
Rocking Standing Calf Raise,Calves,Barbell
Standing barbell calf raise,Calves,Barbell
Barbell Seated Calf Raise,Calves,Barbell
Smith machine standing calf raise,Calves,Barbell
Calf Raise On A Dumbbell,Calves,Dumbbell
Standing Dumbbell Calf Raise,Calves,Dumbbell
Single-leg standing dumbbell calf raise,Calves,Dumbbell
Dumbbell walking calf raise,Calves,Dumbbell
Balance Board,Calves,Other
Weighted donkey calf raise,Calves,Other
Anterior Tibialis-SMR,Calves,Other
Foot-SMR,Calves,Other
Agility Ladder,Calves,Other
Single-leg machine seated calf raise,Calves,Other
Smith Machine Calf Raise,Calves,Machine
Standing Calf Raises,Calves,Machine
Seated Calf Raise,Calves,Machine
Calf Press On The Leg Press Machine,Calves,Machine
Calf Press,Calves,Machine
Smith Machine Reverse Calf Raises,Calves,Machine
Seated Single-Leg Calf Press - Gethin Variation,Calves,Machine
Seated Calf Raise - Gethin Variation,Calves,Machine
Donkey Calf Raise - Gethin Variation,Calves,Machine
Standing Calf Raise Facing Hack Squat Machine - Gethin Variation,Calves,Machine
Calf Press On A Hack Squat Machine - Gethin Variation,Calves,Machine
Smith Machine Standing Calf Raises - Gethin Variation,Calves,Machine
Hack squat calf raise,Calves,Machine
Seated Calf Press - Gethin Variation,Calves,Machine
Leg press calf raise,Calves,Machine
Machine seated calf raise,Calves,Machine
30 Legs Seated Calf Raise,Calves,Machine
30 Legs Standing Calf Raise,Calves,Machine
Peroneals-SMR,Calves,Body Only
Knee Circles,Calves,Body Only
Standing Gastrocnemius Calf Stretch,Calves,Body Only
Wall calf stretch,Calves,Body Only
Seated Calf Stretch,Calves,Body Only
Standing Calf Raise,Calves,Body Only
Standing calf raise-,Calves,Body Only
HM Left Calf-Spike Sumo Pulse,Calves,Body Only
Ankle Circles,Calves,None
Calf Stretch Elbows Against Wall,Calves,None
Standing Soleus And Achilles Stretch,Calves,None
Cross Over - With Bands,Chest,Bands
Bench Press - With Bands,Chest,Bands
Bench Press With Short Bands,Chest,Bands
Feet-Elevated TRX Push-Up,Chest,Bands
Band-suspended kettlebell bench press,Chest,Bands
HM Banded Cross-Over Pull,Chest,Bands
Rusin Band Pull-Apart,Chest,Bands
UNS Banded Push-Up,Chest,Bands
Taylor Band-Assisted One-Arm Push-Up,Chest,Bands
Incline band bench press,Chest,Bands
Band push-up,Chest,Bands
Band chest fly,Chest,Bands
Close-grip bench press,Chest,Barbell
Barbell Bench Press - Medium Grip,Chest,Barbell
Decline barbell bench press,Chest,Barbell
Wide-grip bench press,Chest,Barbell
Wide-Grip Decline Barbell Bench Press,Chest,Barbell
Barbell Incline Bench Press Medium-Grip,Chest,Barbell
Neck Press,Chest,Barbell
Front Raise And Pullover,Chest,Barbell
Board bench press,Chest,Barbell
Barbell Bench Press-Wide Grip,Chest,Barbell
Wide-Grip Decline Barbell Pullover,Chest,Barbell
Barbell Guillotine Bench Press,Chest,Barbell
Band-suspended kettlebell bench press,Chest,Bands
Paul Carter Incline Bench Press,Chest,Barbell
Incline bench press,Chest,Barbell
Bench press,Chest,Barbell
TBS Close-Grip Bench Press,Chest,Barbell
AM Flat Bench Barbell Press,Chest,Barbell
UP Bench Press,Chest,Barbell
UP Close-Grip Bench Press,Chest,Barbell
King Maker Barbell Bench Press,Chest,Barbell
King Maker Incline Barbell Bench Press,Chest,Barbell
30 Chest Incline Barbell Bench Press,Chest,Barbell
30 Chest Barbell Bench Press,Chest,Barbell
30 Chest 30-Degree Incline Dumbbell Press,Chest,Barbell
Spoto press,Chest,Barbell
Kettlebell plyo push-up,Chest,Kettlebells
Extended Range One-Arm Kettlebell Floor Press,Chest,Kettlebells
Kettlebell alternating floor press,Chest,Kettlebells
One-Arm Kettlebell Floor Press,Chest,Kettlebells
Leg-Over Floor Press,Chest,Kettlebells
Band-suspended kettlebell bench press,Chest,Bands
FYR2 Push-Up to Kettlebell Hike Combo,Chest,Kettlebells
Pushups,Chest,Body Only
Incline Push-Up,Chest,Body Only
Hands-elevated push-up,Chest,Body Only
Decline Push-Up,Chest,Body Only
Single-Arm Push-Up,Chest,Body Only
Close push-up to wide push-up,Chest,Body Only
Wide-grip hands-elevated push-up,Chest,Body Only
Push-Ups With Feet On An Exercise Ball,Chest,Body Only
Feet-elevated push-up,Chest,Body Only
Isometric Wipers,Chest,Body Only
Clock push-up,Chest,Body Only
Incline Push-Up Depth Jump,Chest,Body Only
Push-Up Wide,Chest,Body Only
Sphinx push-up,Chest,Body Only
Close-Hands Push-Up,Chest,Body Only
Tiger-bend push-up,Chest,Body Only
Plyo push-up,Chest,Body Only
Close-grip hands-elevated push-up,Chest,Body Only
Suspended push-up,Chest,Body Only
Push Up to Side Plank,Chest,Body Only
Isometric Chest Squeezes,Chest,Body Only
Side-to-side push-up,Chest,Body Only
Typewriter push-up,Chest,Body Only
Diamond push-up,Chest,Body Only
Judo push-up,Chest,Body Only
Superman Push-Up,Chest,Body Only
Wide push-up,Chest,Body Only
One-Arm Push-Up,Chest,Body Only
Clapping Push-Up,Chest,Body Only
Staggered push-up,Chest,Body Only
Reverse-grip hands-elevated push-up,Chest,Body Only
Triple Clap Push-Up,Chest,Body Only
Side kick-through push-up,Chest,Body Only
Swimming,Chest,Body Only
FYR Push-Up,Chest,Body Only
Frog push-up,Chest,Body Only
Wide push-up plank hold,Chest,Body Only
Close push-up,Chest,Body Only
Push-Up - Gethin Variation,Chest,Body Only
HM Incline Push-Up On Chair,Chest,Body Only
HM Push-Up,Chest,Body Only
HM Push-Plank,Chest,Body Only
AM Chest Dips,Chest,Body Only
Push-up,Chest,Body Only
UP Push-up,Chest,Body Only
UN Push-Up,Chest,Body Only
UNS Foam Roll Pecs,Chest,Body Only
UN Hands Elevated Push-Up,Chest,Body Only
Holman Seal Drag to Push-Up,Chest,Body Only
Holman Hand-Elevated Push-Up with Hand Row,Chest,Body Only
Holman Push-Up,Chest,Body Only
Holman Slow Hips-Up Chest Press,Chest,Body Only
Holman Jump-Out Push-Up with Hand Hop Back,Chest,Body Only
Holman Froggy Push-Up to Donkey Kick,Chest,Body Only
Holman Push-Up to Sit Back,Chest,Body Only
Holman Sit Back Push-Up,Chest,Body Only
Holman Alternating Staggered Push-Up,Chest,Body Only
Holman Foot-Up Diving Push-Up,Chest,Body Only
Holman Narrow Push-Up,Chest,Body Only
Holman Dynamo Push-Up,Chest,Body Only
Holman Jump to Push-Up,Chest,Body Only
Holman Foot-Elevated Push-Up,Chest,Body Only
Holman Feet-Elevated Push-Up,Chest,Body Only
Total Fitness Plyo Push-Up,Chest,Body Only
Scapular push-up,Chest,Body Only
King Maker Push-up,Chest,Body Only
Warrior push-up,Chest,Body Only
Taylor Roll-Over Push-Up,Chest,Body Only
Taylor One-Arm Push-Up Slow Negative,Chest,Body Only
30 Chest Push-Up To Isometric Hold,Chest,Body Only
30 Chest Push-Up,Chest,Body Only
30 Chest Bench Push-Up,Chest,Body Only
MetaBurn 3-Phase Push-Up,Chest,Body Only
MetaBurn Fast Feet To Push-Up,Chest,Body Only
MetaBurn Judo Push-Up To Pike Push-Up,Chest,Body Only
MetaBurn Pike Push-Up,Chest,Body Only
MetaBurn Push-Up To Frogger,Chest,Body Only
MetaBurn Push-Up With Hand Side-Step,Chest,Body Only
MetaBurn Push-Up With Hand-Up Rotation,Chest,Body Only
MetaBurn Sphinx Push-Up,Chest,Body Only
MetaBurn Spiderman Push-Up,Chest,Body Only
Roberston Push-up to Down Dog,Chest,Body Only
FYR2 Push-Up-Breakdancer-Shoulder-Tap Complex,Chest,Body Only
ACFT Hand-release push-up,Chest,Body Only
1.5-rep push-up,Chest,Body Only
ACFT Triple-clap push-up,Chest,Body Only
ACFT Superman push-up,Chest,Body Only
Cross-over push-up,Chest,Body Only
Leverage Incline Chest Press,Chest,Machine
Butterfly,Chest,Machine
Leverage Chest Press,Chest,Machine
Decline Smith Press,Chest,Machine
Smith machine bench press,Chest,Machine
Leverage Decline Chest Press,Chest,Machine
Machine chest press,Chest,Machine
Smith Machine Incline Bench Press,Chest,Machine
Smith Machine Close-Grip Bench Press,Chest,Machine
Smith Machine Decline Press,Chest,Machine
Smith machine bench press throw,Chest,Machine
Machine chest fly,Chest,Machine
Machine bench press,Chest,Machine
Machine Seated Chest Press - Gethin Variation,Chest,Machine
Smith machine weighted push-up,Chest,Machine
Smith machine incline bench press-,Chest,Machine
Smith machine decline bench press,Chest,Machine
AM Pec Dec,Chest,Machine
30 Chest Machine Flat Chest Press,Chest,Machine
Smith machine push-up,Chest,Machine
30 Chest Smith Machine Incline Chest Press,Chest,Machine
30 Chest Smith Machine Chest Press,Chest,Machine
30 Chest Machine Incline Chest Press,Chest,Machine
30 Chest Machine Fly,Chest,Machine
30 Chest 30-Degree Incline Smith Machine Press,Chest,Machine
Low-cable cross-over,Chest,Cable
Incline cable chest fly,Chest,Cable
Cable Crossover,Chest,Cable
Incline cable chest press,Chest,Cable
Cable Chest Press,Chest,Cable
Single-arm cable cross-over,Chest,Cable
Cable cross-over,Chest,Cable
Standing Cable Chest Press,Chest,Cable
Lying cable chest fly,Chest,Cable
Paul Carter Cable Cross-Over,Chest,Cable
One-Arm Cable Crossover - Gethin Variation,Chest,Cable
Incline Cable Fly - Gethin Variation,Chest,Cable
Cable Cross-Over - Gethin Variation,Chest,Cable
Seated cable chest fly,Chest,Cable
Single-arm incline cable cross-over-,Chest,Cable
High-to-low cable chest fly,Chest,Cable
UP Cable Cross-Over,Chest,Cable
UP Cable Fly,Chest,Cable
30 Chest Low-To-High Cable Fly,Chest,Cable
30 Chest Incline Cable Fly,Chest,Cable
30 Chest Incline Cable Chest Press,Chest,Cable
30 Chest High-To-Low Cable Press,Chest,Cable
30 Chest High-To-Low Cable Fly,Chest,Cable
30 Chest Shoulder-Height Cable Fly,Chest,Cable
Cable Pec Fly,Chest,Cable
Chest Push (multiple response),Chest,Medicine Ball
Medicine Ball Chest Pass,Chest,Medicine Ball
Medicine ball sprawl to chest press,Chest,Medicine Ball
Medicine ball push-up,Chest,Medicine Ball
Chest Push (single response),Chest,Medicine Ball
Chest Push with Run Release,Chest,Medicine Ball
Chest Push from 3 point stance,Chest,Medicine Ball
Dumbbell Bench Press,Chest,Dumbbell
Dumbbell Flyes,Chest,Dumbbell
Incline dumbbell bench press,Chest,Dumbbell
Decline Dumbbell Flyes,Chest,Dumbbell
Reverse-grip incline dumbbell bench press,Chest,Dumbbell
Incline Dumbbell Flyes,Chest,Dumbbell
Neutral-grip dumbbell bench press,Chest,Dumbbell
Decline dumbbell bench press,Chest,Dumbbell
Single-arm kettlebell row,Chest,Dumbbell
Hammer Grip Incline DB Bench Press,Chest,Dumbbell
Straight-arm dumbbell pull-over,Chest,Dumbbell
Incline Dumbbell Bench With Palms Facing In,Chest,Dumbbell
Incline Dumbbell Flyes - With A Twist,Chest,Dumbbell
Bent-arm dumbbell pull-over,Chest,Dumbbell
Close-grip dumbbell bench press,Chest,Dumbbell
Single-dumbbell push-up,Chest,Dumbbell
One-Arm Flat Bench Dumbbell Flye,Chest,Dumbbell
Dumbbell Fix Dumbbell Floor Chest Fly,Chest,Dumbbell
Dumbbell Fix Traveling Push-Up,Chest,Dumbbell
Incline dumbbell chest fly,Chest,Dumbbell
Paul Carter Dumbbell Shrug,Chest,Dumbbell
Dumbbell push-up row,Chest,Dumbbell
TBS Dumbbell Incline Press,Chest,Dumbbell
Incline Dumbbell Fly - Gethin Variation,Chest,Dumbbell
Dumbbell bench press-,Chest,Dumbbell
Decline dumbbell fly and press,Chest,Dumbbell
Incline dumbbell fly and press,Chest,Dumbbell
Single-arm decline dumbbell bench press,Chest,Dumbbell
Single-arm incline dumbbell bench press,Chest,Dumbbell
Incline Dumbbell Press - Gethin Variation,Chest,Dumbbell
Dumbbell Chest Press - Gethin Variation,Chest,Dumbbell
Dumbbell Floor Press - Gethin Variation,Chest,Dumbbell
Decline Dumbbell Press - Gethin Variation,Chest,Dumbbell
Dumbbell chest fly,Chest,Dumbbell
Machine rear delt fly,Chest,Dumbbell
AM Dumbbell Bench Press,Chest,Dumbbell
UP Incline Dumbbell Press,Chest,Dumbbell
UP Incline Dumbbell Fly,Chest,Dumbbell
